id,name,anchor_type,sub_type,protection_level,town,lng,lat,cmi_raw_mentions,cmi_direct_degree,cmi_freq_component,cmi_degree_component,cmi,oai,poi_count_500m,avg_rating_500m,review_total_500m,thi,mi,mi_category,entity_hit_sample,poi_hit_sample
NH_0052,西联村神诞,非遗项目,民俗,区级非物质文化遗产代表性项目,桂城街道,113.147651,23.058601,0.0,0,0.0,0.0,0.0,25.0,22,4.275,4.0,55.07,42.57,空心景点区,,读书驿站(桂城千灯湖党群服务中心站)|南海实验小学|汇丰银行(佛山分行)|广发银行(千灯湖支行)|高浩电竞(保利水城店)
ANC_0160,大桐圩,圩市街区,,,西樵镇,112.989197,22.88795,0.0,0,0.0,0.0,0.0,0.0,10,3.7,2.0,42.58,42.58,空心景点区,,西樵戴氏大宗祠|读书驿站(西樵七星站)|西樵大同书院|绿涯陈公祠|罗山程公祠
ANC_0040,禄舟万寿堂,不可移动文物,古建筑,市级文物保护单位,西樵镇,112.948687,22.922072,0.0,0,0.0,0.0,0.0,50.0,6,3.617,47.0,67.96,42.96,空心景点区,,黄飞鸿狮艺武术馆|关德兴纪念堂|黄有恒堂君璧纪念馆|黄君壁纪念馆|南海白眉武术馆
ANC_0042,湖山胜迹门楼,不可移动文物,古建筑,市级文物保护单位,西樵镇,112.965363,22.933235,2.0,1,17.08,11.13,14.7,50.0,40,4.056,35.0,78.27,45.92,空心景点区,门楼,西樵山风景名胜区-樵园公园|茶花园|天湖公园|西樵山-听音湖|白云洞风景区
ANC_0155,沙基圩,圩市街区,,,西樵镇,112.916292,22.983847,0.0,0,0.0,0.0,0.0,0.0,8,3.775,4.0,46.88,46.88,空心景点区,,迎宾广场|佛山市南海区福厚博物馆|区梦觉故居|区梦觉生平事迹展陈馆|玉泉祖祠
ANC_0132,红棉公园民国建筑群,文化景观,,,九江镇,113.01,22.83,0.0,0,0.0,0.0,0.0,0.0,23,3.867,3.0,51.3,51.3,空心景点区,,红棉公园|儒林历史文化陈列馆|读书驿站(九江儒林社区站)|朱九江纪念公园|红棉公园-公共厕所
ANC_0044,光分亭,不可移动文物,古建筑,市级文物保护单位,西樵镇,112.962325,22.933011,0.0,0,0.0,0.0,0.0,50.0,83,4.0,21.0,77.57,52.57,空心景点区,,茶花园|白云洞风景区|西樵山风景名胜区-观音庙|樵山文化中心|西樵山白云古寺-客堂
ANC_0162,大伸市,圩市街区,,,九江镇,113.006027,22.847445,0.0,0,0.0,0.0,0.0,0.0,79,4.55,1.0,54.82,54.82,空心景点区,,探花公园|信基广场|新东方文化辅导园|蓝图文化中心|方太(九江国美信基广场店)
NH_0063,南海广式旺阁酱油酿造技艺,非遗项目,传统技艺,区级非物质文化遗产代表性项目,桂城街道,113.14765,23.071455,0.0,0,0.0,0.0,0.0,25.0,46,4.2,13.0,70.0,57.5,空心景点区,,千灯湖公园北区|千灯湖水生态研学基地科普型公园|真武古庙|全民健身公园出口(海八东路西向)|广东星雷文化传媒有限公司
NH_0047,南海农谚,非遗项目,民间文学,区级非物质文化遗产代表性项目,桂城街道,113.149888,23.066444,0.0,0,0.0,0.0,0.0,25.0,489,4.1,18.0,87.87,75.37,空心景点区,,千灯湖公园北区|千灯湖水生态研学基地科普型公园|灯湖市政公园|佛山市岭南金融博物馆(新馆)|六月西洋艺术博物馆
