entity_name,entity_type,mentions,source_count,lng,lat,town,match_source,match_id
儒溪村,B6 古村落与聚落遗产类,8,3,112.953897,22.900263,西樵镇,poi_contain,B0LBS5UDJF
奎光楼,B1 古建筑类,8,4,112.95914,22.936815,西樵镇,poi_exact,B0FFFWIXC8
石泉书院,B1 古建筑类,8,5,112.987483,22.937557,西樵镇,poi_exact,
云门,B5 石刻碑记类,8,4,112.959727,22.935155,西樵镇,poi_contain,B0FFG1YR9U
仙岗村,B6 古村落与聚落遗产类,8,3,112.886543,23.040686,丹灶镇,poi_contain,B0FFLHZ51O
西樵山天湖公园,D4 传承场所与活动场地,8,2,112.96723,22.929192,西樵镇,poi_contain,B0FFHJ45NL
银坑村,B6 古村落与聚落遗产类,8,1,112.883841,22.858808,西樵镇,poi_contain,B0FFGA58BQ
康公庙,B2 宗教建筑类,7,3,113.090138,23.059543,大沥镇,poi_exact,B02F50774O
佛山市,D2 镇街圩市空间,7,5,113.009071,23.087814,狮山镇,poi_contain,B0HGSH3UCJ
南海石门中学,B3 纪念性建筑与名人故居类,7,4,113.184287,23.121699,大沥镇,poi_contain,B02F50UERZ
西樵山文化,B4 古遗址与生产遗存类,7,4,112.976555,22.955715,西樵镇,poi_contain,B0G145CZV6
文化馆,D4 传承场所与活动场地,7,2,112.95552,23.066059,狮山镇,poi_contain,B0FFIKOMBO
澹如楼,B1 古建筑类,7,4,112.899119,23.023151,丹灶镇,poi_exact,B0FFGA9S7L
陈启沅纪念馆,B3 纪念性建筑与名人故居类,7,2,112.95341,22.945087,西樵镇,poi_exact,B02F507C78
千灯湖,D1 山川水系空间,7,5,113.142081,23.053483,桂城街道,poi_exact,B02F506TYO
烟桥村,B6 古村落与聚落遗产类,7,2,112.955287,22.872286,西樵镇,poi_contain,B0FFGQ9BPO
云海莲台,B2 宗教建筑类,7,1,112.969013,22.932146,西樵镇,poi_exact,B0FFGRN2RR
大同圩,D2 镇街圩市空间,7,2,112.899757,23.023353,丹灶镇,poi_contain,B02F5076XX
李氏宗祠,B1 古建筑类,7,2,112.99534,23.19254,狮山镇,poi_exact,B0FFFA08UD
天镇峰,D1 山川水系空间,7,3,112.969782,22.942663,西樵镇,poi_contain,B0FFFDR6OB
枕流亭,B1 古建筑类,7,2,112.959751,22.934972,西樵镇,poi_exact,B0FFG1YQ5C
展旗峰,D1 山川水系空间,7,2,113.14817,23.158866,里水镇,poi_contain,B0HU6C3JYM
沙水村,B6 古村落与聚落遗产类,7,1,112.935246,23.046177,丹灶镇,poi_contain,B0FFKCIQYL
良登村,B6 古村落与聚落遗产类,7,3,112.909619,23.022209,丹灶镇,poi_contain,B0FFFSY1XG
白沙乡,D2 镇街圩市空间,7,4,113.204028,23.132712,里水镇,poi_contain,B0FFL0EOCI
香港西医书院,B3 纪念性建筑与名人故居类,7,2,113.10216,23.18814,大沥镇,poi_contain,B0FFIZSDND
先锋庙,B2 宗教建筑类,6,4,112.973089,22.842647,西樵镇,poi_exact,B0HA6HAYXO
三元桥,B1 古建筑类,6,4,113.017604,22.829592,nan,anchor_exact,ANC_0076
应潮湖,D1 山川水系空间,6,4,112.959823,22.934857,西樵镇,poi_exact,B0FFIJLEF8
官山墟,D2 镇街圩市空间,6,5,113.003022,22.952411,西樵镇,poi_contain,
祖堂,B2 宗教建筑类,6,5,112.972193,22.93857,西樵镇,poi_contain,
文昌书院,B1 古建筑类,6,3,113.10216,23.18814,大沥镇,poi_contain,B0FFIZSDND
西樵简村,B6 古村落与聚落遗产类,6,5,112.950197,22.94808,西樵镇,poi_contain,B0FFKZZLC2
平沙,D2 镇街圩市空间,6,2,112.899381,22.920226,西樵镇,poi_contain,B0FFKCML3A
水月宫,B2 宗教建筑类,6,6,113.169373,23.113815,里水镇,poi_exact,B0FFL92KWP
大雄宝殿,B2 宗教建筑类,6,6,113.168936,22.998059,桂城街道,poi_exact,B0FFGA0GMH
摩崖石刻,B5 石刻碑记类,6,2,112.975743,22.932326,西樵镇,poi_exact,B0FFFWH2CH
绮亭陈公祠,B1 古建筑类,6,2,112.948347,22.948052,西樵镇,poi_exact,B0FFJ3QM9H
家祠,B1 古建筑类,6,3,112.893823,22.953859,西樵镇,poi_contain,B0LRHA7DZK
大镇,B6 古村落与聚落遗产类,6,5,113.121211,23.082048,大沥镇,poi_contain,B0H6R58TX6
杜氏大宗祠,B1 古建筑类,6,4,113.202257,23.133661,大沥镇,poi_exact,B02F50UEO4
西樵山旅游度假区,D1 山川水系空间,6,1,112.98877,22.943175,西樵镇,poi_exact,
大岸,D2 镇街圩市空间,6,2,112.974069,22.987882,丹灶镇,poi_contain,
太平,D2 镇街圩市空间,6,1,113.097632,23.107608,大沥镇,poi_contain,B0FFMDHTLJ
新村,B6 古村落与聚落遗产类,6,2,113.199209,23.189779,里水镇,poi_contain,B0GK193NYE
庆云洞,B2 宗教建筑类,6,3,112.872731,22.857182,西樵镇,poi_exact,B02F5076NF
云端村,B6 古村落与聚落遗产类,6,4,112.963727,22.929616,西樵镇,poi_contain,B0FFG39YLZ
云溪书院,B1 古建筑类,6,3,113.10216,23.18814,大沥镇,poi_contain,B0FFIZSDND
小云亭,B1 古建筑类,6,3,112.961,22.935799,西樵镇,poi_exact,B0FFG27VR2
帝亲殿,B2 宗教建筑类,6,3,112.960867,22.935939,西樵镇,poi_exact,B0FFHHCWAZ
广雅书院,B1 古建筑类,6,3,113.10216,23.18814,大沥镇,poi_contain,B0FFIZSDND
仙湖,D1 山川水系空间,6,3,112.890483,23.052763,狮山镇,poi_contain,B0FFJ8L54R
