id,name,type,mentions,confidence,source_count,weight,sources
E0564,江村,地点,7,0.8,1,7.0,南海文史资料_第26辑_黄少强画传
E0565,人物画,文化要素,7,0.75,1,7.0,南海文史资料_第26辑_黄少强画传
E0566,终年,朝代,7,0.8,1,7.0,南海文史资料_第29辑_(广东省南海市政协文史和学习委员会编)
E0567,状元坊,建筑,7,0.8,1,7.0,南海文史资料_第29辑_(广东省南海市政协文史和学习委员会编)
E0568,石山,地点,7,0.8,1,7.0,南海文史资料_第3辑_西樵山专辑
E0569,云路村,地点,7,0.95,1,7.0,南海文史资料_第3辑_西樵山专辑
E0570,宝峰寺,建筑,7,0.95,1,7.0,南海文史资料_第3辑_西樵山专辑
E0571,石燕岩,地点,7,0.95,1,7.0,南海文史资料_第3辑_西樵山专辑
E0572,入馆,建筑,7,0.8,1,7.0,南海文史资料_第3辑_西樵山专辑
E0573,泰山,地点,7,0.8,1,7.0,南海文史资料_第5辑_(政协南海县委员会文史组编)
E0574,礼拜堂,建筑,7,0.8,1,7.0,南海文史资料_第5辑_(政协南海县委员会文史组编)
E0575,八角亭,建筑,7,0.8,1,7.0,南海文史资料_第6辑_(政协南海县委员会文史组编)
E0576,后代,朝代,7,0.8,1,7.0,南海文史资料_第6辑_(政协南海县委员会文史组编)
E0577,邝氏,人物,7,0.7,1,7.0,南海文史资料_第6辑_(政协南海县委员会文史组编)
E0578,黄山,地点,7,0.8,1,7.0,南海文史资料_第8辑_(政协南海县委员会文史组)
E0579,博山,地点,6,0.8,1,6.0,佛山市博物馆藏绘画
E0580,童年,朝代,6,0.8,1,6.0,佛山文史资料
E0581,煎堆,文化要素,6,0.95,1,6.0,南海美食_南海特产篇
E0582,笔画,文化要素,6,0.75,1,6.0,南海非遗_南海书画篇
E0583,张镇,地点,6,0.8,1,6.0,大德南海志_维基文库
E0584,十二年,朝代,6,0.8,1,6.0,南海文史资料_第13辑_(南海县政协文史资料研究委员会编)
E0585,大沥镇,地点,6,0.95,1,6.0,南海文史资料_第15辑_(南海县政协文史资料委员会编)
E0586,瀛台,建筑,6,0.8,1,6.0,南海文史资料_第1辑_(政协南海县委员会文史组)
E0587,民教馆,建筑,6,0.8,1,6.0,南海文史资料_第21辑_(广东省南海市政协文史资料委员会编)
E0588,龙山,地点,6,0.8,1,6.0,南海文史资料_第24辑_蚕桑谱专辑
E0589,潘先生,人物,6,0.7,1,6.0,南海文史资料_第25辑_(广东省南海市政协文史资料委员会编)
E0590,诗画,文化要素,6,0.75,1,6.0,南海文史资料_第26辑_黄少强画传
E0591,江山,地点,6,0.8,1,6.0,南海文史资料_第26辑_黄少强画传
E0592,良凿围,地点,6,0.8,1,6.0,南海文史资料_第2辑_(政协南海县委员会文史组)
E0593,西山,地点,6,0.8,1,6.0,南海文史资料_第3辑_西樵山专辑
E0594,正德,朝代,6,0.95,1,6.0,南海文史资料_第3辑_西樵山专辑
E0595,近年,朝代,6,0.8,1,6.0,南海文史资料_第3辑_西樵山专辑
E0596,三路,地点,6,0.8,1,6.0,南海文史资料_第5辑_(政协南海县委员会文史组编)
E0597,渡河,地点,6,0.8,1,6.0,南海文史资料_第5辑_(政协南海县委员会文史组编)
E0598,岗山,地点,6,0.8,1,6.0,南海文史资料_第6辑_(政协南海县委员会文史组编)
E0599,酱油,文化要素,5,0.95,1,5.0,南海美食_南海特产篇
E0600,厨艺,文化要素,5,0.75,1,5.0,南海美食_南海美食篇
E0601,三院,建筑,5,0.8,1,5.0,南海文史资料_第14辑_(南海县政协文史资料委员会编)
E0602,王朝,朝代,5,0.8,1,5.0,南海文史资料_第16辑_(南海县政协文史资料研究委员会)
E0603,学年,朝代,5,0.8,1,5.0,南海文史资料_第16辑_(南海县政协文史资料研究委员会)
E0604,一区,地点,5,0.8,1,5.0,南海文史资料_第1辑_(政协南海县委员会文史组)
E0605,显岗,地点,5,0.8,1,5.0,南海文史资料_第1辑_(政协南海县委员会文史组)
E0606,各县,地点,5,0.8,1,5.0,南海文史资料_第24辑_蚕桑谱专辑
E0607,其画,文化要素,5,0.75,1,5.0,南海文史资料_第26辑_黄少强画传
E0608,学画,文化要素,5,0.75,1,5.0,南海文史资料_第26辑_黄少强画传
E0609,瀑亭,建筑,5,0.8,1,5.0,南海文史资料_第3辑_西樵山专辑
E0610,大科书院,建筑,5,0.95,1,5.0,南海文史资料_第3辑_西樵山专辑
E0611,芳村,地点,5,0.8,1,5.0,南海文史资料_第5辑_(政协南海县委员会文史组编)
E0612,数年,朝代,5,0.8,1,5.0,南海文史资料_第5辑_(政协南海县委员会文史组编)
E0613,冈村,地点,5,0.8,1,5.0,南海文史资料_第6辑_(政协南海县委员会文史组编)
E0614,续编,文化要素,5,0.75,1,5.0,南海文史资料_第8辑_(政协南海县委员会文史组)
E0615,餐馆,建筑,4,0.8,1,4.0,南海美食_南海美食篇
E0616,林寺,建筑,4,0.8,1,4.0,南海文史资料_第1辑_(政协南海县委员会文史组)
E0617,画馆,建筑,4,0.8,1,4.0,南海文史资料_第26辑_黄少强画传
E0618,天风楼,建筑,4,0.8,1,4.0,南海文史资料_第26辑_黄少强画传
E0619,四十周年,朝代,4,0.8,1,4.0,南海文史资料_第8辑_(政协南海县委员会文史组)
E0620,州市,地点,3,0.8,1,3.0,中国旅行_广州佛山
E0621,摄氏,人物,3,0.7,1,3.0,中国旅行_广州佛山
E0622,风景区,地点,3,0.8,1,3.0,中国旅行_广州佛山
E0623,以画,文化要素,3,0.75,1,3.0,南海文史资料_第26辑_黄少强画传
E0624,东山,地点,2,0.8,1,2.0,中国旅行_广州佛山
E0625,滨江路,地点,2,0.8,1,2.0,中国旅行_广州佛山
E0626,会县,地点,2,0.8,1,2.0,中国旅行_广州佛山
