record_id,source_file,source_type,resource_class,sub_class,level,name,era,address,town,target_geometry,lng,lat,spatial_method,spatial_confidence,matched_existing_anchor,matched_poi,dedup_status,dedup_match,centroid_town
IH_0147,不可移动文物Excel.xls,不可移动文物,古建筑,坛庙祠堂,市级和县级文物保护单位,恒德徐公祠,清代,广东省佛山市南海区丹灶镇西联社区居委会五甲村五巷1号,丹灶镇,point,112.931257,23.089846,existing_anchor_name,0.98,恒德徐公祠,,duplicate_existing_anchor,恒德徐公祠,丹灶镇
IH_0148,不可移动文物Excel.xls,不可移动文物,古建筑,堤坝渠堰（及其他水利设施）,尚未核定公布为文物保护单位的不可移动文物,桑园围西堤,"宋辽西夏金元,明代,清代",广东省佛山市南海区九江镇河清社区居委会四村村北边,九江镇,point,112.959097,22.865251,town_representative_point,0.38,,,new_candidate,,九江镇
IH_0149,不可移动文物Excel.xls,不可移动文物,古建筑,坛庙祠堂,尚未核定公布为文物保护单位的不可移动文物,竹园头何氏宗祠,清代,广东省佛山市南海区狮山镇沙头社区居委会竹园头村,狮山镇,point,112.961625,22.967047,poi_name_fuzzy,0.84,,何氏宗祠,new_candidate,,西樵镇
IH_0150,不可移动文物Excel.xls,不可移动文物,古墓葬,普通墓葬,尚未核定公布为文物保护单位的不可移动文物,梁储父母墓,明代,广东省佛山市南海区里水镇石塘村委会漱珠岗,里水镇,point,113.138868,23.223757,town_representative_point,0.38,,,new_candidate,,里水镇
IH_0151,不可移动文物Excel.xls,不可移动文物,古墓葬,名人或贵族墓,尚未核定公布为文物保护单位的不可移动文物,姚大宁墓,清代,广东省佛山市南海区里水镇石塘村委会漱珠岗,里水镇,point,113.138868,23.223757,town_representative_point,0.38,,,new_candidate,,里水镇
IH_0152,不可移动文物Excel.xls,不可移动文物,近现代重要史迹及代表性建筑,传统民居,尚未核定公布为文物保护单位的不可移动文物,中西郑家西大院,近现代,广东省佛山市南海区九江镇下东村委会中西村489-492,九江镇,point,112.959097,22.865251,town_representative_point,0.38,,,new_candidate,,九江镇
IH_0153,不可移动文物Excel.xls,不可移动文物,近现代重要史迹及代表性建筑,依法审批后原址重建的不可移动文物，具有标志意义或典型意义。,尚未核定公布为文物保护单位的不可移动文物,朱九江先生纪念堂,近现代,广东省佛山市南海区九江镇儒林社区船栏街100号九江中学内,九江镇,point,113.026758,22.842008,poi_name_exact,0.94,,朱九江先生纪念堂,matched_poi_only,朱九江先生纪念堂,九江镇
IH_0154,不可移动文物Excel.xls,不可移动文物,古建筑,堤坝渠堰（及其他水利设施）,尚未核定公布为文物保护单位的不可移动文物,下东双涌口窦闸,清代,广东省佛山市南海区九江镇下东村委会南华村双涌红星大道观音堂对面,九江镇,point,112.959097,22.865251,town_representative_point,0.38,,,new_candidate,,九江镇
IH_0155,不可移动文物Excel.xls,不可移动文物,古墓葬,普通墓葬,尚未核定公布为文物保护单位的不可移动文物,华夏冯氏祖墓,宋辽西夏金元,广东省佛山市南海区西樵镇华夏村五甲村民小组七队,西樵镇,point,112.935322,22.941121,town_representative_point,0.38,,,new_candidate,,西樵镇
IH_0156,不可移动文物Excel.xls,不可移动文物,古建筑,池塘井泉,尚未核定公布为文物保护单位的不可移动文物,方井村方井,明代,广东省佛山市南海区西樵镇儒溪村委会方井村龙兴巷6号侧,西樵镇,point,112.949148,22.903461,poi_name_fuzzy,0.84,,儒溪方井村方井,new_candidate,,西樵镇
