ix,iy,clng,clat,town,official_count,immovable_count,museum_count,historical_area_count,historical_street_count
11,29,112.88975,22.93075,西樵镇,1,0,0,1,0
11,30,112.88975,22.93525,西樵镇,1,0,0,1,0
11,31,112.88975,22.93975,西樵镇,1,0,0,1,0
11,32,112.88975,22.94425,西樵镇,1,0,0,1,0
11,33,112.88975,22.94875,西樵镇,1,0,0,1,0
11,34,112.88975,22.95325,西樵镇,1,0,0,1,0
11,35,112.88975,22.95775,西樵镇,1,0,0,1,0
11,45,112.88975,23.00275,丹灶镇,0,0,0,0,0
11,46,112.88975,23.00725,丹灶镇,0,0,0,0,0
11,47,112.88975,23.01175,丹灶镇,0,0,0,0,0
11,48,112.88975,23.01625,丹灶镇,0,0,0,0,0
11,49,112.88975,23.02075,丹灶镇,0,0,0,0,0
11,50,112.88975,23.02525,丹灶镇,0,0,0,0,0
11,51,112.88975,23.02975,丹灶镇,0,0,0,0,0
11,52,112.88975,23.03425,丹灶镇,0,0,0,0,0
11,53,112.88975,23.03875,丹灶镇,1,1,0,0,0
11,54,112.88975,23.04325,丹灶镇,3,0,0,3,0
11,55,112.88975,23.04775,丹灶镇,3,0,0,3,0
11,56,112.88975,23.05225,丹灶镇,0,0,0,0,0
11,57,112.88975,23.05675,丹灶镇,0,0,0,0,0
11,58,112.88975,23.06125,丹灶镇,0,0,0,0,0
11,59,112.88975,23.06575,丹灶镇,0,0,0,0,0
11,60,112.88975,23.07025,丹灶镇,0,0,0,0,0
11,61,112.88975,23.07475,丹灶镇,0,0,0,0,0
11,62,112.88975,23.07925,丹灶镇,0,0,0,0,0
11,63,112.88975,23.08375,丹灶镇,0,0,0,0,0
11,64,112.88975,23.08825,丹灶镇,0,0,0,0,0
11,65,112.88975,23.09275,丹灶镇,0,0,0,0,0
11,66,112.88975,23.09725,丹灶镇,0,0,0,0,0
11,67,112.88975,23.10175,丹灶镇,0,0,0,0,0
11,68,112.88975,23.10625,丹灶镇,0,0,0,0,0
11,69,112.88975,23.11075,丹灶镇,0,0,0,0,0
11,70,112.88975,23.11525,丹灶镇,0,0,0,0,0
12,11,112.89425,22.84975,西樵镇,1,0,0,1,0
12,12,112.89425,22.85425,西樵镇,1,0,0,1,0
12,13,112.89425,22.85875,西樵镇,1,0,0,1,0
12,14,112.89425,22.86325,西樵镇,1,0,0,1,0
12,15,112.89425,22.86775,西樵镇,1,0,0,1,0
12,16,112.89425,22.87225,西樵镇,1,0,0,1,0
12,17,112.89425,22.87675,西樵镇,1,0,0,1,0
12,24,112.89425,22.90825,西樵镇,1,0,0,1,0
12,25,112.89425,22.91275,西樵镇,1,0,0,1,0
12,26,112.89425,22.91725,西樵镇,1,0,0,1,0
12,27,112.89425,22.92175,西樵镇,1,0,0,1,0
12,28,112.89425,22.92625,西樵镇,1,0,0,1,0
12,29,112.89425,22.93075,西樵镇,1,0,0,1,0
12,30,112.89425,22.93525,西樵镇,1,0,0,1,0
12,31,112.89425,22.93975,西樵镇,1,0,0,1,0
12,32,112.89425,22.94425,西樵镇,1,0,0,1,0
12,33,112.89425,22.94875,西樵镇,1,0,0,1,0
12,34,112.89425,22.95325,西樵镇,1,0,0,1,0
12,35,112.89425,22.95775,西樵镇,1,0,0,1,0
12,36,112.89425,22.96225,西樵镇,1,0,0,1,0
12,44,112.89425,22.99825,未标注,0,0,0,0,0
12,45,112.89425,23.00275,丹灶镇,0,0,0,0,0
12,46,112.89425,23.00725,丹灶镇,0,0,0,0,0
12,47,112.89425,23.01175,丹灶镇,0,0,0,0,0
12,48,112.89425,23.01625,丹灶镇,0,0,0,0,0
